Date,Category,Type,Amount (USD),Description
2024-05-26,Groceries,Expense,3999,Random groceries transaction
2024-09-24,Utilities,Expense,4706,Random utilities transaction
2024-12-01,Freelance Income,Income,8363,Random freelance income transaction
2024-08-06,Insurance,Expense,1676,Random insurance transaction
2024-08-22,Salary,Income,2845,Random salary transaction
2024-09-08,Insurance,Expense,176,Random insurance transaction
2024-02-06,Rent,Expense,1194,Random rent transaction
2024-06-24,Rent,Expense,3525,Random rent transaction
2024-05-21,Insurance,Expense,162,Random insurance transaction
2024-08-19,Freelance Income,Income,4619,Random freelance income transaction
2024-11-24,Insurance,Expense,3656,Random insurance transaction
2024-09-24,Salary,Income,208,Random salary transaction
2024-07-06,Rent,Expense,4395,Random rent transaction
2024-01-12,Insurance,Expense,2841,Random insurance transaction
2024-12-13,Utilities,Expense,1669,Random utilities transaction
2024-09-27,Insurance,Expense,1062,Random insurance transaction
2024-08-27,Insurance,Expense,1269,Random insurance transaction
2024-02-07,Miscellaneous,Expense,240,Random miscellaneous transaction
2024-07-30,Utilities,Expense,1713,Random utilities transaction
2024-10-01,Loan Payment,Expense,4043,Random loan payment transaction
2024-12-19,Insurance,Expense,2171,Random insurance transaction
2024-02-27,Transportation,Expense,4394,Random transportation transaction
2024-12-19,Salary,Income,6385,Random salary transaction
2024-04-28,Insurance,Expense,1411,Random insurance transaction
2024-02-12,Insurance,Expense,2524,Random insurance transaction
2024-12-20,Savings,Goal,2356,Random savings transaction
2024-10-24,Insurance,Expense,4524,Random insurance transaction
2024-06-11,Savings,Goal,385,Random savings transaction
2024-06-29,Savings,Goal,3496,Random savings transaction
2024-01-20,Utilities,Expense,1561,Random utilities transaction
2024-09-03,Freelance Income,Income,1450,Random freelance income transaction
2024-09-27,Insurance,Expense,4287,Random insurance transaction
2024-09-03,Dining Out,Expense,1080,Random dining out transaction
2024-04-09,Freelance Income,Income,9764,Random freelance income transaction
2024-04-17,Savings,Goal,5355,Random savings transaction
2024-10-27,Insurance,Expense,2892,Random insurance transaction
2024-11-03,Transportation,Expense,3348,Random transportation transaction
2024-12-01,Rent,Expense,1478,Random rent transaction
2024-11-01,Groceries,Expense,845,Random groceries transaction
2024-03-22,Entertainment,Expense,1885,Random entertainment transaction
2024-06-17,Utilities,Expense,1254,Random utilities transaction
2024-11-19,Groceries,Expense,1366,Random groceries transaction
2024-06-29,Entertainment,Expense,3091,Random entertainment transaction
2024-08-25,Savings,Goal,5660,Random savings transaction
2024-03-17,Entertainment,Expense,4345,Random entertainment transaction
2024-09-01,Salary,Income,4048,Random salary transaction
2024-11-08,Miscellaneous,Expense,2317,Random miscellaneous transaction
2024-04-10,Insurance,Expense,1077,Random insurance transaction
2024-04-02,Rent,Expense,3193,Random rent transaction
2024-04-15,Savings,Goal,944,Random savings transaction
2024-07-17,Transportation,Expense,2984,Random transportation transaction
2024-06-30,Savings,Goal,3898,Random savings transaction
2024-09-17,Salary,Income,4620,Random salary transaction
2024-02-14,Savings,Goal,8497,Random savings transaction
2024-02-13,Savings,Goal,7543,Random savings transaction
2024-01-02,Utilities,Expense,1385,Random utilities transaction
2024-06-18,Salary,Income,6396,Random salary transaction
2024-10-25,Salary,Income,2765,Random salary transaction
2024-10-07,Utilities,Expense,390,Random utilities transaction
2024-09-07,Entertainment,Expense,1333,Random entertainment transaction
2024-08-01,Insurance,Expense,2250,Random insurance transaction
2024-09-14,Utilities,Expense,3694,Random utilities transaction
2024-10-23,Miscellaneous,Expense,2789,Random miscellaneous transaction
2024-10-29,Freelance Income,Income,2883,Random freelance income transaction
2024-07-24,Freelance Income,Income,9400,Random freelance income transaction
2024-12-26,Savings,Goal,4126,Random savings transaction
2024-02-07,Transportation,Expense,2383,Random transportation transaction
2024-07-14,Freelance Income,Income,8947,Random freelance income transaction
2024-09-10,Freelance Income,Income,7605,Random freelance income transaction
2024-08-14,Loan Payment,Expense,1118,Random loan payment transaction
2024-02-20,Transportation,Expense,1790,Random transportation transaction
2024-04-04,Loan Payment,Expense,2013,Random loan payment transaction
2024-08-22,Salary,Income,9897,Random salary transaction
2024-05-23,Loan Payment,Expense,1222,Random loan payment transaction
2024-05-01,Dining Out,Expense,3663,Random dining out transaction
2024-12-09,Utilities,Expense,3230,Random utilities transaction
2024-10-16,Groceries,Expense,1048,Random groceries transaction
2024-12-29,Rent,Expense,164,Random rent transaction
2024-12-31,Miscellaneous,Expense,2744,Random miscellaneous transaction
2024-08-29,Groceries,Expense,823,Random groceries transaction
2024-09-27,Insurance,Expense,475,Random insurance transaction
2024-08-22,Freelance Income,Income,4856,Random freelance income transaction
2024-01-05,Groceries,Expense,3588,Random groceries transaction
2024-07-20,Savings,Goal,6119,Random savings transaction
2024-05-01,Freelance Income,Income,3418,Random freelance income transaction
2024-09-22,Freelance Income,Income,6833,Random freelance income transaction
2024-09-26,Entertainment,Expense,3082,Random entertainment transaction
2024-08-18,Salary,Income,6709,Random salary transaction
2024-12-07,Freelance Income,Income,6152,Random freelance income transaction
2024-12-13,Entertainment,Expense,4895,Random entertainment transaction
2024-07-29,Dining Out,Expense,4349,Random dining out transaction
2024-09-02,Insurance,Expense,281,Random insurance transaction
2024-11-28,Rent,Expense,1958,Random rent transaction
2024-01-07,Salary,Income,4322,Random salary transaction
2024-05-14,Salary,Income,5169,Random salary transaction
2024-11-30,Dining Out,Expense,3354,Random dining out transaction
2024-06-30,Miscellaneous,Expense,2100,Random miscellaneous transaction
2024-01-23,Insurance,Expense,319,Random insurance transaction
2024-11-03,Loan Payment,Expense,839,Random loan payment transaction
2024-11-19,Utilities,Expense,974,Random utilities transaction
2024-09-17,Rent,Expense,4271,Random rent transaction
2024-06-03,Miscellaneous,Expense,3372,Random miscellaneous transaction
2024-03-21,Insurance,Expense,2933,Random insurance transaction
2024-02-08,Miscellaneous,Expense,1064,Random miscellaneous transaction
2024-11-04,Loan Payment,Expense,408,Random loan payment transaction
2024-04-21,Entertainment,Expense,4927,Random entertainment transaction
2024-05-31,Transportation,Expense,4123,Random transportation transaction
2024-12-12,Utilities,Expense,2176,Random utilities transaction
2025-01-01,Salary,Income,3480,Random salary transaction
2024-07-27,Groceries,Expense,3825,Random groceries transaction
2024-08-20,Rent,Expense,518,Random rent transaction
2024-09-27,Entertainment,Expense,3928,Random entertainment transaction
2024-01-20,Dining Out,Expense,4501,Random dining out transaction
2024-12-26,Freelance Income,Income,3193,Random freelance income transaction
2024-03-31,Rent,Expense,2581,Random rent transaction
2024-05-19,Freelance Income,Income,4600,Random freelance income transaction
2024-11-12,Groceries,Expense,2927,Random groceries transaction
2024-08-02,Transportation,Expense,4866,Random transportation transaction
2024-08-21,Savings,Goal,7547,Random savings transaction
2024-06-13,Entertainment,Expense,435,Random entertainment transaction
2024-07-23,Miscellaneous,Expense,189,Random miscellaneous transaction
2024-09-30,Savings,Goal,8212,Random savings transaction
2024-10-12,Loan Payment,Expense,3761,Random loan payment transaction
2024-07-29,Transportation,Expense,676,Random transportation transaction
2024-04-04,Salary,Income,4106,Random salary transaction
2024-02-19,Transportation,Expense,1270,Random transportation transaction
2024-10-14,Salary,Income,7779,Random salary transaction
2024-12-30,Salary,Income,8962,Random salary transaction
2024-05-18,Savings,Goal,8023,Random savings transaction
2024-08-26,Insurance,Expense,4760,Random insurance transaction
2024-01-28,Utilities,Expense,1481,Random utilities transaction
2024-03-01,Groceries,Expense,4252,Random groceries transaction
2024-06-07,Insurance,Expense,2680,Random insurance transaction
2024-10-03,Insurance,Expense,4716,Random insurance transaction
2024-02-26,Salary,Income,1112,Random salary transaction
2024-04-25,Freelance Income,Income,7813,Random freelance income transaction
2024-07-01,Miscellaneous,Expense,2359,Random miscellaneous transaction
2024-02-27,Groceries,Expense,3744,Random groceries transaction
2024-04-18,Miscellaneous,Expense,2498,Random miscellaneous transaction
2024-07-09,Transportation,Expense,1110,Random transportation transaction
2024-11-25,Savings,Goal,1643,Random savings transaction
2024-09-10,Utilities,Expense,64,Random utilities transaction
2024-06-17,Entertainment,Expense,1463,Random entertainment transaction
2024-07-16,Loan Payment,Expense,3492,Random loan payment transaction
2024-01-12,Entertainment,Expense,833,Random entertainment transaction
2024-12-31,Utilities,Expense,4274,Random utilities transaction
2024-09-22,Groceries,Expense,4491,Random groceries transaction
2024-11-05,Rent,Expense,4525,Random rent transaction
2024-04-23,Miscellaneous,Expense,1250,Random miscellaneous transaction
2024-11-30,Salary,Income,2919,Random salary transaction
2024-09-10,Groceries,Expense,4931,Random groceries transaction
2024-04-24,Freelance Income,Income,6491,Random freelance income transaction
2024-04-24,Salary,Income,2452,Random salary transaction
2024-10-11,Dining Out,Expense,3935,Random dining out transaction
2024-07-24,Dining Out,Expense,1537,Random dining out transaction
2024-02-26,Salary,Income,3227,Random salary transaction
2024-07-01,Groceries,Expense,4553,Random groceries transaction
2024-10-29,Insurance,Expense,1860,Random insurance transaction
2024-04-25,Dining Out,Expense,401,Random dining out transaction
2024-12-20,Insurance,Expense,1634,Random insurance transaction
2024-08-26,Salary,Income,8431,Random salary transaction
2024-06-02,Entertainment,Expense,1036,Random entertainment transaction
2024-07-10,Transportation,Expense,1689,Random transportation transaction
2024-09-15,Transportation,Expense,4920,Random transportation transaction
2024-01-29,Entertainment,Expense,3454,Random entertainment transaction
2024-08-03,Rent,Expense,4988,Random rent transaction
2024-06-07,Dining Out,Expense,4308,Random dining out transaction
2024-11-23,Entertainment,Expense,786,Random entertainment transaction
2024-10-15,Miscellaneous,Expense,859,Random miscellaneous transaction
2024-01-07,Savings,Goal,6914,Random savings transaction
2024-08-27,Freelance Income,Income,7118,Random freelance income transaction
2024-05-15,Entertainment,Expense,3888,Random entertainment transaction
2024-09-11,Groceries,Expense,3045,Random groceries transaction
2024-05-08,Loan Payment,Expense,3238,Random loan payment transaction
2024-06-11,Freelance Income,Income,3874,Random freelance income transaction
2024-09-17,Groceries,Expense,3440,Random groceries transaction
2024-02-24,Entertainment,Expense,3182,Random entertainment transaction
2024-08-28,Insurance,Expense,1833,Random insurance transaction
2024-07-10,Transportation,Expense,604,Random transportation transaction
2024-12-15,Utilities,Expense,1710,Random utilities transaction
2024-03-23,Entertainment,Expense,2630,Random entertainment transaction
2024-10-28,Rent,Expense,763,Random rent transaction
2024-10-17,Utilities,Expense,2344,Random utilities transaction
2024-08-10,Loan Payment,Expense,2608,Random loan payment transaction
2024-07-30,Transportation,Expense,2538,Random transportation transaction
2024-07-16,Dining Out,Expense,4928,Random dining out transaction
2024-08-04,Dining Out,Expense,2803,Random dining out transaction
2024-02-06,Entertainment,Expense,1011,Random entertainment transaction
2024-11-07,Groceries,Expense,703,Random groceries transaction
2024-09-05,Groceries,Expense,180,Random groceries transaction
2024-11-12,Loan Payment,Expense,3623,Random loan payment transaction
2024-01-23,Salary,Income,9427,Random salary transaction
2024-04-08,Groceries,Expense,4146,Random groceries transaction
2024-09-07,Transportation,Expense,1607,Random transportation transaction
2024-07-13,Salary,Income,9463,Random salary transaction
2024-03-27,Rent,Expense,3354,Random rent transaction
2024-07-06,Utilities,Expense,3414,Random utilities transaction
2024-12-31,Miscellaneous,Expense,4286,Random miscellaneous transaction
2024-06-23,Dining Out,Expense,4162,Random dining out transaction
2024-04-30,Rent,Expense,3540,Random rent transaction
2024-10-02,Savings,Goal,1758,Random savings transaction
2024-07-26,Loan Payment,Expense,1553,Random loan payment transaction
2024-02-15,Dining Out,Expense,3277,Random dining out transaction
2024-07-09,Transportation,Expense,2913,Random transportation transaction
2024-12-04,Freelance Income,Income,8720,Random freelance income transaction
2024-10-07,Groceries,Expense,1627,Random groceries transaction
2024-04-26,Groceries,Expense,4288,Random groceries transaction
2024-07-14,Entertainment,Expense,4716,Random entertainment transaction
2024-02-08,Groceries,Expense,3851,Random groceries transaction
2024-11-27,Transportation,Expense,3008,Random transportation transaction
2024-05-31,Salary,Income,177,Random salary transaction
2024-07-01,Entertainment,Expense,4858,Random entertainment transaction
2024-11-15,Freelance Income,Income,3088,Random freelance income transaction
2024-11-06,Entertainment,Expense,508,Random entertainment transaction
2024-11-30,Entertainment,Expense,2415,Random entertainment transaction
2024-12-07,Insurance,Expense,2740,Random insurance transaction
2024-02-07,Groceries,Expense,781,Random groceries transaction
2024-12-23,Entertainment,Expense,2965,Random entertainment transaction
2024-12-11,Salary,Income,7984,Random salary transaction
2024-02-17,Rent,Expense,834,Random rent transaction
2024-01-21,Loan Payment,Expense,4154,Random loan payment transaction
2024-10-06,Entertainment,Expense,1120,Random entertainment transaction
2024-08-10,Rent,Expense,3091,Random rent transaction
2024-06-13,Savings,Goal,8195,Random savings transaction
2024-04-14,Utilities,Expense,3732,Random utilities transaction
2024-04-02,Transportation,Expense,2636,Random transportation transaction
2024-12-27,Groceries,Expense,3211,Random groceries transaction
2024-12-02,Entertainment,Expense,3113,Random entertainment transaction
2024-03-16,Freelance Income,Income,6766,Random freelance income transaction
2024-02-11,Dining Out,Expense,2889,Random dining out transaction
2024-11-06,Miscellaneous,Expense,2601,Random miscellaneous transaction
2024-09-22,Savings,Goal,2066,Random savings transaction
2024-04-16,Loan Payment,Expense,328,Random loan payment transaction
2024-12-06,Entertainment,Expense,4444,Random entertainment transaction
2024-08-04,Loan Payment,Expense,893,Random loan payment transaction
2024-08-06,Insurance,Expense,2329,Random insurance transaction
2024-12-19,Miscellaneous,Expense,4188,Random miscellaneous transaction
2024-05-03,Freelance Income,Income,7144,Random freelance income transaction
2024-11-16,Rent,Expense,3146,Random rent transaction
2024-12-01,Freelance Income,Income,9534,Random freelance income transaction
2024-12-08,Entertainment,Expense,4485,Random entertainment transaction
2024-08-18,Freelance Income,Income,6430,Random freelance income transaction
2024-07-02,Freelance Income,Income,2232,Random freelance income transaction
2024-10-06,Entertainment,Expense,413,Random entertainment transaction
2024-01-25,Freelance Income,Income,6081,Random freelance income transaction
2024-03-20,Savings,Goal,5347,Random savings transaction
2024-07-22,Loan Payment,Expense,1219,Random loan payment transaction
2024-05-19,Transportation,Expense,710,Random transportation transaction
2024-10-25,Transportation,Expense,2528,Random transportation transaction
2024-04-27,Groceries,Expense,2075,Random groceries transaction
2024-09-30,Groceries,Expense,1013,Random groceries transaction
2024-08-04,Entertainment,Expense,3738,Random entertainment transaction
2024-10-10,Groceries,Expense,2216,Random groceries transaction
2024-07-27,Savings,Goal,2240,Random savings transaction
2024-02-24,Groceries,Expense,3304,Random groceries transaction
2024-08-18,Salary,Income,3345,Random salary transaction
2024-06-10,Salary,Income,6328,Random salary transaction
2024-04-15,Utilities,Expense,2909,Random utilities transaction
2024-12-16,Savings,Goal,6353,Random savings transaction
2024-07-09,Transportation,Expense,3749,Random transportation transaction
2024-12-21,Transportation,Expense,2819,Random transportation transaction
2024-03-08,Miscellaneous,Expense,321,Random miscellaneous transaction
2024-11-22,Insurance,Expense,2011,Random insurance transaction
2024-07-28,Entertainment,Expense,3453,Random entertainment transaction
2024-01-25,Freelance Income,Income,676,Random freelance income transaction
2024-05-11,Rent,Expense,3960,Random rent transaction
2024-11-30,Miscellaneous,Expense,205,Random miscellaneous transaction
2024-01-12,Miscellaneous,Expense,871,Random miscellaneous transaction
2024-08-21,Utilities,Expense,4340,Random utilities transaction
2024-04-22,Savings,Goal,5714,Random savings transaction
2024-05-11,Insurance,Expense,194,Random insurance transaction
2024-06-04,Rent,Expense,2268,Random rent transaction
2024-08-01,Loan Payment,Expense,2138,Random loan payment transaction
2024-10-29,Insurance,Expense,4312,Random insurance transaction
2024-10-09,Miscellaneous,Expense,2883,Random miscellaneous transaction
2024-07-28,Rent,Expense,2250,Random rent transaction
2024-04-11,Miscellaneous,Expense,1317,Random miscellaneous transaction
2024-02-01,Loan Payment,Expense,167,Random loan payment transaction
2024-02-07,Rent,Expense,1533,Random rent transaction
2024-07-23,Dining Out,Expense,3304,Random dining out transaction
2024-06-10,Loan Payment,Expense,4873,Random loan payment transaction
2024-10-02,Rent,Expense,2932,Random rent transaction
2024-04-28,Groceries,Expense,4524,Random groceries transaction
2024-02-21,Rent,Expense,1075,Random rent transaction
2024-08-02,Utilities,Expense,1409,Random utilities transaction
2024-06-17,Transportation,Expense,2269,Random transportation transaction
2024-04-19,Groceries,Expense,4756,Random groceries transaction
2024-07-15,Loan Payment,Expense,3277,Random loan payment transaction
2024-03-19,Rent,Expense,4724,Random rent transaction
2024-12-14,Insurance,Expense,1940,Random insurance transaction
2024-11-18,Rent,Expense,173,Random rent transaction
2024-03-05,Insurance,Expense,707,Random insurance transaction
2024-03-03,Insurance,Expense,2324,Random insurance transaction
2024-01-28,Dining Out,Expense,4352,Random dining out transaction
2024-02-06,Transportation,Expense,4991,Random transportation transaction
2024-10-13,Utilities,Expense,2552,Random utilities transaction
2024-07-21,Savings,Goal,3889,Random savings transaction
2024-06-03,Miscellaneous,Expense,3792,Random miscellaneous transaction
2024-02-27,Dining Out,Expense,3780,Random dining out transaction
2024-08-05,Rent,Expense,4634,Random rent transaction
2024-05-26,Transportation,Expense,1453,Random transportation transaction
2024-04-17,Transportation,Expense,3668,Random transportation transaction
2024-03-07,Rent,Expense,4293,Random rent transaction
2024-12-26,Rent,Expense,1980,Random rent transaction
2024-10-04,Insurance,Expense,4441,Random insurance transaction
2024-11-24,Insurance,Expense,4396,Random insurance transaction
2024-07-02,Freelance Income,Income,4153,Random freelance income transaction
2024-04-27,Transportation,Expense,80,Random transportation transaction
2024-08-19,Groceries,Expense,4274,Random groceries transaction
2024-03-02,Miscellaneous,Expense,698,Random miscellaneous transaction
2024-12-20,Dining Out,Expense,1258,Random dining out transaction
2024-07-08,Entertainment,Expense,113,Random entertainment transaction
2024-07-21,Loan Payment,Expense,1682,Random loan payment transaction
2024-02-11,Miscellaneous,Expense,3988,Random miscellaneous transaction
2024-09-17,Loan Payment,Expense,3394,Random loan payment transaction
2024-05-27,Savings,Goal,5394,Random savings transaction
2024-03-28,Salary,Income,6305,Random salary transaction
2024-03-02,Entertainment,Expense,4100,Random entertainment transaction
2024-12-18,Dining Out,Expense,4135,Random dining out transaction
2024-12-08,Groceries,Expense,794,Random groceries transaction
2024-08-02,Miscellaneous,Expense,2412,Random miscellaneous transaction
2024-02-19,Rent,Expense,3380,Random rent transaction
2024-01-22,Salary,Income,9937,Random salary transaction
2024-10-28,Insurance,Expense,739,Random insurance transaction
2024-06-26,Salary,Income,2266,Random salary transaction
2024-06-25,Savings,Goal,5534,Random savings transaction
2024-04-09,Utilities,Expense,2761,Random utilities transaction
2024-10-11,Miscellaneous,Expense,3697,Random miscellaneous transaction
2024-10-27,Groceries,Expense,1159,Random groceries transaction
2024-03-11,Rent,Expense,2732,Random rent transaction
2024-09-16,Freelance Income,Income,290,Random freelance income transaction
2024-04-14,Insurance,Expense,3275,Random insurance transaction
2024-01-02,Salary,Income,4073,Random salary transaction
2024-05-08,Entertainment,Expense,3585,Random entertainment transaction
2024-09-17,Dining Out,Expense,3753,Random dining out transaction
2024-11-15,Insurance,Expense,2278,Random insurance transaction
2024-04-06,Salary,Income,9597,Random salary transaction
2024-02-23,Transportation,Expense,2661,Random transportation transaction
2024-04-23,Entertainment,Expense,4732,Random entertainment transaction
2024-10-07,Salary,Income,3937,Random salary transaction
2024-03-08,Freelance Income,Income,8803,Random freelance income transaction
2024-01-07,Loan Payment,Expense,2169,Random loan payment transaction
2024-09-03,Dining Out,Expense,1580,Random dining out transaction
2024-10-02,Loan Payment,Expense,2222,Random loan payment transaction
2024-01-21,Loan Payment,Expense,836,Random loan payment transaction
2024-08-27,Rent,Expense,2491,Random rent transaction
2024-04-14,Savings,Goal,1219,Random savings transaction
2024-09-15,Dining Out,Expense,3736,Random dining out transaction
2024-06-11,Loan Payment,Expense,15,Random loan payment transaction
2024-10-16,Freelance Income,Income,7726,Random freelance income transaction
2024-11-09,Freelance Income,Income,7883,Random freelance income transaction
2024-09-22,Savings,Goal,525,Random savings transaction
2024-09-27,Freelance Income,Income,4249,Random freelance income transaction
2024-12-21,Groceries,Expense,526,Random groceries transaction
2024-12-02,Miscellaneous,Expense,2472,Random miscellaneous transaction
2024-11-28,Dining Out,Expense,861,Random dining out transaction
2024-06-11,Insurance,Expense,3009,Random insurance transaction
2024-10-31,Loan Payment,Expense,2749,Random loan payment transaction
2024-06-27,Transportation,Expense,1580,Random transportation transaction
2024-11-21,Miscellaneous,Expense,635,Random miscellaneous transaction
2024-10-13,Transportation,Expense,2672,Random transportation transaction
2024-04-01,Salary,Income,955,Random salary transaction
2024-11-24,Loan Payment,Expense,154,Random loan payment transaction
2024-02-08,Groceries,Expense,1429,Random groceries transaction
2024-03-12,Entertainment,Expense,1154,Random entertainment transaction
2024-11-14,Groceries,Expense,1294,Random groceries transaction
2024-03-29,Miscellaneous,Expense,3899,Random miscellaneous transaction
2024-07-11,Dining Out,Expense,3039,Random dining out transaction
2024-03-06,Insurance,Expense,26,Random insurance transaction
2024-10-12,Salary,Income,7062,Random salary transaction
2024-03-25,Dining Out,Expense,2454,Random dining out transaction
2024-05-08,Insurance,Expense,3971,Random insurance transaction
2024-01-02,Rent,Expense,3341,Random rent transaction
2024-03-13,Groceries,Expense,2770,Random groceries transaction
2024-07-19,Loan Payment,Expense,4254,Random loan payment transaction
2024-08-27,Loan Payment,Expense,199,Random loan payment transaction
2024-05-17,Miscellaneous,Expense,4934,Random miscellaneous transaction
2024-01-27,Loan Payment,Expense,4670,Random loan payment transaction
2024-07-07,Transportation,Expense,1924,Random transportation transaction
2024-04-13,Loan Payment,Expense,1642,Random loan payment transaction
2024-11-08,Rent,Expense,2641,Random rent transaction
2024-09-08,Insurance,Expense,3980,Random insurance transaction
2024-04-18,Salary,Income,4105,Random salary transaction
2024-01-20,Salary,Income,3625,Random salary transaction
2024-11-27,Transportation,Expense,1610,Random transportation transaction
2024-09-21,Loan Payment,Expense,2707,Random loan payment transaction
2024-05-16,Insurance,Expense,2592,Random insurance transaction
2024-04-06,Dining Out,Expense,3410,Random dining out transaction
2024-02-07,Loan Payment,Expense,4469,Random loan payment transaction
2024-09-06,Entertainment,Expense,3575,Random entertainment transaction
2024-03-15,Dining Out,Expense,335,Random dining out transaction
2024-08-10,Salary,Income,7372,Random salary transaction
2024-09-20,Dining Out,Expense,4194,Random dining out transaction
2024-01-28,Rent,Expense,2749,Random rent transaction
2024-05-26,Savings,Goal,4040,Random savings transaction
2024-08-22,Entertainment,Expense,1866,Random entertainment transaction
2024-04-14,Rent,Expense,4231,Random rent transaction
2024-03-11,Salary,Income,7966,Random salary transaction
2024-05-15,Miscellaneous,Expense,222,Random miscellaneous transaction
2024-03-16,Insurance,Expense,1520,Random insurance transaction
2024-03-28,Miscellaneous,Expense,4574,Random miscellaneous transaction
2024-09-16,Loan Payment,Expense,2059,Random loan payment transaction
2024-11-25,Salary,Income,1624,Random salary transaction
2024-02-23,Loan Payment,Expense,4868,Random loan payment transaction
2024-05-04,Utilities,Expense,3439,Random utilities transaction
2024-06-29,Dining Out,Expense,1815,Random dining out transaction
2024-11-16,Transportation,Expense,4798,Random transportation transaction
2024-07-20,Savings,Goal,1857,Random savings transaction
2024-11-04,Groceries,Expense,3401,Random groceries transaction
2024-06-08,Dining Out,Expense,2909,Random dining out transaction
2024-09-20,Dining Out,Expense,166,Random dining out transaction
2024-08-01,Freelance Income,Income,4036,Random freelance income transaction
2024-02-24,Rent,Expense,70,Random rent transaction
2024-06-23,Insurance,Expense,53,Random insurance transaction
2024-05-04,Entertainment,Expense,4176,Random entertainment transaction
2024-01-03,Salary,Income,4804,Random salary transaction
2024-05-30,Groceries,Expense,2010,Random groceries transaction
2024-02-21,Entertainment,Expense,4056,Random entertainment transaction
2024-02-24,Salary,Income,5388,Random salary transaction
2024-11-20,Savings,Goal,6414,Random savings transaction
2024-06-14,Utilities,Expense,2365,Random utilities transaction
2024-12-03,Rent,Expense,4823,Random rent transaction
2024-10-04,Transportation,Expense,933,Random transportation transaction
2024-10-24,Groceries,Expense,882,Random groceries transaction
2024-02-25,Insurance,Expense,3295,Random insurance transaction
2024-08-28,Miscellaneous,Expense,504,Random miscellaneous transaction
2024-12-01,Rent,Expense,3876,Random rent transaction
2024-05-08,Freelance Income,Income,9164,Random freelance income transaction
2024-09-17,Insurance,Expense,3603,Random insurance transaction
2024-12-01,Groceries,Expense,2966,Random groceries transaction
2024-05-20,Entertainment,Expense,4020,Random entertainment transaction
2024-03-28,Transportation,Expense,3593,Random transportation transaction
2024-03-27,Salary,Income,4527,Random salary transaction
2024-09-20,Miscellaneous,Expense,2945,Random miscellaneous transaction
2024-05-27,Miscellaneous,Expense,4842,Random miscellaneous transaction
2024-08-21,Utilities,Expense,3266,Random utilities transaction
2024-06-17,Utilities,Expense,10,Random utilities transaction
2024-04-26,Salary,Income,8401,Random salary transaction
2024-01-25,Utilities,Expense,3877,Random utilities transaction
2024-12-19,Transportation,Expense,1806,Random transportation transaction
2024-07-20,Transportation,Expense,3653,Random transportation transaction
2024-01-03,Savings,Goal,7982,Random savings transaction
2024-09-29,Dining Out,Expense,1511,Random dining out transaction
2024-09-17,Salary,Income,4372,Random salary transaction
2024-07-21,Freelance Income,Income,4050,Random freelance income transaction
2024-05-06,Utilities,Expense,4618,Random utilities transaction
2024-06-24,Rent,Expense,3458,Random rent transaction
2024-11-20,Dining Out,Expense,2367,Random dining out transaction
2024-08-01,Freelance Income,Income,8433,Random freelance income transaction
2024-10-18,Transportation,Expense,4387,Random transportation transaction
2024-07-06,Miscellaneous,Expense,679,Random miscellaneous transaction
2024-10-27,Salary,Income,3328,Random salary transaction
2024-10-07,Salary,Income,8427,Random salary transaction
2024-06-09,Salary,Income,480,Random salary transaction
2024-12-31,Miscellaneous,Expense,1551,Random miscellaneous transaction
2024-10-07,Entertainment,Expense,4327,Random entertainment transaction
2024-11-06,Entertainment,Expense,4538,Random entertainment transaction
2024-04-20,Entertainment,Expense,1636,Random entertainment transaction
2024-09-13,Loan Payment,Expense,4908,Random loan payment transaction
2024-08-05,Freelance Income,Income,7783,Random freelance income transaction
2024-08-13,Transportation,Expense,4335,Random transportation transaction
2024-05-25,Loan Payment,Expense,4192,Random loan payment transaction
2024-06-09,Salary,Income,9876,Random salary transaction
2024-02-16,Groceries,Expense,324,Random groceries transaction
2024-02-12,Salary,Income,9213,Random salary transaction
2024-08-25,Groceries,Expense,3856,Random groceries transaction
2024-09-15,Dining Out,Expense,2031,Random dining out transaction
2024-01-05,Savings,Goal,5625,Random savings transaction
2024-03-19,Freelance Income,Income,1852,Random freelance income transaction
2024-10-13,Miscellaneous,Expense,2231,Random miscellaneous transaction
2024-10-09,Entertainment,Expense,4007,Random entertainment transaction
2024-06-24,Loan Payment,Expense,3874,Random loan payment transaction
2024-05-06,Groceries,Expense,4737,Random groceries transaction
2024-09-11,Entertainment,Expense,3481,Random entertainment transaction
2024-04-30,Utilities,Expense,3482,Random utilities transaction
2024-02-22,Rent,Expense,4405,Random rent transaction
2024-07-24,Dining Out,Expense,1787,Random dining out transaction
2024-11-22,Freelance Income,Income,9958,Random freelance income transaction
2024-10-31,Freelance Income,Income,1833,Random freelance income transaction
2024-02-04,Rent,Expense,3805,Random rent transaction
2024-07-01,Groceries,Expense,450,Random groceries transaction
2024-05-16,Freelance Income,Income,9479,Random freelance income transaction
2024-10-06,Salary,Income,4905,Random salary transaction
2024-09-19,Transportation,Expense,2405,Random transportation transaction
2024-08-26,Rent,Expense,553,Random rent transaction
2024-10-12,Rent,Expense,903,Random rent transaction
2024-08-15,Insurance,Expense,4910,Random insurance transaction
2024-04-09,Transportation,Expense,1282,Random transportation transaction
2024-04-16,Dining Out,Expense,1330,Random dining out transaction
2024-07-20,Loan Payment,Expense,828,Random loan payment transaction
2024-02-07,Insurance,Expense,3158,Random insurance transaction
2024-04-06,Insurance,Expense,2360,Random insurance transaction
2024-04-08,Transportation,Expense,1585,Random transportation transaction
